hanja,unicode,reading,meaning_kw
栐,U+6810,영,
濴,U+6FF4,영,물 졸졸 흐를
癭,U+766D,영,목 혹
韺,U+97FA,영,풍류이름
藝,U+85DD,예,재주
豫,U+8C6B,예,기쁠
譽,U+8B7D,예,칭찬할
銳,U+92B3,예,날카로울
誤,U+8AA4,오,그릇할
烏,U+70CF,오,까마귀
汚,U+6C5A,오,더러울
嗚,U+55DA,오,탄식할
鼇,U+9F07,오,매우 큰 자라
鰲,U+9C32,오,큰 자라
玉,U+7389,옥,구슬
屋,U+5C4B,옥,집
獄,U+7344,옥,감옥
沃,U+6C83,옥,기름질
鈺,U+923A,옥,보배
溫,U+6EAB,온,따뜻할
穩,U+7A69,온,편안할
稳,U+7A33,온,편안할
𥁕,U+25055,온,
昷,U+6637,온,어질
翁,U+7FC1,옹,늙은이
擁,U+64C1,옹,안을
瓦,U+74E6,와,질그릇
臥,U+81E5,와,누울
完,U+5B8C,완,완전할
緩,U+7DE9,완,느즈러질
腕,U+8155,완,팔뚝
豌,U+8C4C,완,동부
阮,U+962E,완,성씨
頑,U+9811,완,완고할
妧,U+59A7,완,좋을
岏,U+5C8F,완,산 뾰족할
鋺,U+92FA,완,저울 바탕
抏,U+628F,완,
杬,U+676C,완,몸 주무를
刓,U+5213,완,깎을
忨,U+5FE8,완,탐할
惋,U+60CB,완,한탄할
涴,U+6DB4,완,물 굽이쳐 흐를
盌,U+76CC,완,은 바리
曰,U+66F0,왈,가로되
王,U+738B,왕,임금
往,U+5F80,왕,갈
旺,U+65FA,왕,고울
汪,U+6C6A,왕,물 출렁출렁할
枉,U+6789,왕,굽을
瀇,U+7007,왕,아득할
迬,U+8FEC,왕,갈
外,U+5916,외,바깥
畏,U+754F,외,두려울
嵬,U+5D6C,외,산 뾰족할
巍,U+5DCD,외,높을
猥,U+7325,외,더러울
偎,U+504E,외,사랑할
嵔,U+5D54,외,산이름
崴,U+5D34,외,평평치 아니할
渨,U+6E28,외,더러울
煨,U+7168,외,불에 묻어 구울
碨,U+78A8,외,돌 자갈 땅
磈,U+78C8,외,돌 사닥다리
聵,U+8075,외,배냇귀머거리
隗,U+9697,외,높을
橈,U+6A48,요,노
燿,U+71FF,요,비칠
窈,U+7A88,요,고요할
窯,U+7AAF,요,기와가마
繇,U+7E47,요,따를
繞,U+7E5E,요,얽힐
蟯,U+87EF,요,촌백충
邀,U+9080,요,맞을
暚,U+669A,요,
偠,U+5060,요,허리 가늘
喓,U+5593,요,벌레소리
坳,U+5773,요,우묵할
墝,U+589D,요,메마른 밭
嬈,U+5B08,요,예쁜체 할
欲,U+6B32,욕,욕심낼
浴,U+6D74,욕,깨끗이할
慾,U+617E,욕,욕심낼
辱,U+8FB1,욕,욕될
縟,U+7E1F,욕,꾸밀
褥,U+8925,욕,요
溽,U+6EBD,욕,유월 더위
蓐,U+84D0,욕,새싹
用,U+7528,용,쓸
勇,U+52C7,용,날랠
容,U+5BB9,용,얼굴
庸,U+5EB8,용,쓸
鎔,U+9394,용,불릴
熔,U+7194,용,쇠 녹일
涌,U+6D8C,용,물 넘칠
湧,U+6E67,용,물 넘칠
宂,U+5B82,용,번잡할
冗,U+5197,용,쓸데없을
雨,U+96E8,우,비
㲾,U+3CBE,우,
宇,U+5B87,우,집
㝢,U+3762,우,
旭,U+65ED,욱,빛날
昱,U+6631,욱,햇빛 밝을
煜,U+715C,욱,비칠
郁,U+90C1,욱,문채날
頊,U+980A,욱,머리 굽실거릴
彧,U+5F67,욱,빛날
勖,U+52D6,욱,힘쓸
栯,U+682F,욱,산앵두
燠,U+71E0,욱,더울
稢,U+7A22,욱,
𢒰,U+224B0,욱,
稶,U+7A36,욱,서직 무성할
云,U+4E91,운,이를
雲,U+96F2,운,구름
運,U+904B,운,움직일
韻,U+97FB,운,울림
篔,U+7BD4,운,왕대나무
䉙,U+4259,운,
雄,U+96C4,웅,수컷
熊,U+718A,웅,곰
園,U+5712,원,동산
怨,U+6028,원,원망할
圓,U+5713,원,둥글
員,U+54E1,원,관원
阮,U+962E,원,원나라
鴛,U+9D1B,원,숫원앙새
褑,U+8911,원,
朊,U+670A,원,
杬,U+676C,원,몸 주무를
鋺,U+92FA,원,저울 바탕
冤,U+51A4,원,원통할
笎,U+7B0E,원,
邍,U+908D,원,
倇,U+5007,원,
楥,U+6965,원,떡갈나무
芫,U+82AB,원,고기 잡는 풀
薗,U+8597,원,동산
蜿,U+873F,원,굼틀거릴
寃,U+5BC3,원,원통할
貟,U+8C9F,원,
月,U+6708,월,달
越,U+8D8A,월,넘을
鉞,U+925E,월,도끼
刖,U+5216,월,발꿈치 자를
粤,U+7CA4,월,말 내킬
遺,U+907A,유,잃어버릴
幼,U+5E7C,유,어릴
幽,U+5E7D,유,숨을
惟,U+60DF,유,꾀할
鍮,U+936E,유,놋쇠
曘,U+66D8,유,
婑,U+5A51,유,
囿,U+56FF,유,엔담
牖,U+7256,유,엇살창
逌,U+900C,유,빙그레할
姷,U+59F7,유,
聈,U+8048,유,
蕤,U+8564,유,더북할
甤,U+7524,유,
湵,U+6E75,유,
瑈,U+7448,유,
需,U+9700,유,음식
揉,U+63C9,유,풀
兪,U+516A,유,그럴
俞,U+4FDE,유,대답할
濡,U+6FE1,유,적실
㴗,U+3D17,유,
肉,U+8089,육,고기
育,U+80B2,육,기를
堉,U+5809,육,기름진 땅
毓,U+6BD3,육,기를
儥,U+5125,육,팔
閏,U+958F,윤,윤달
潤,U+6F64,윤,젖을
尹,U+5C39,윤,다스릴
允,U+5141,윤,미쁠
玧,U+73A7,윤,귀막이 구슬
鈗,U+9217,윤,창
胤,U+80E4,윤,맏아들
阭,U+962D,윤,
奫,U+596B,윤,물 깊을
贇,U+8D07,윤,예쁠
昀,U+6600,윤,햇빛
荺,U+837A,윤,
鋆,U+92C6,윤,금
橍,U+6A4D,윤,
沇,U+6C87,윤,물 졸졸 흐를
匀,U+5300,윤,나눌
䦞,U+499E,윤,
閠,U+95A0,윤,
㣧,U+38E7,윤,
恩,U+6069,은,은혜
銀,U+9280,은,은
隱,U+96B1,은,숨을
訢,U+8A22,은,기뻐할
蒑,U+8491,은,
泿,U+6CFF,은,
蒽,U+84BD,은,
憖,U+6196,은,물을
圁,U+5701,은,물이름
嶾,U+5DBE,은,
𪙤,U+2A664,은,
𰜩,U+30729,은,
嚚,U+569A,은,어리석을
垽,U+57BD,은,해감
狺,U+72FA,은,뭇 개 짖는 소리
癮,U+766E,은,두드러기
訔,U+8A14,은,시비할
誾,U+8ABE,은,화평할
𨶡,U+28DA1,은,
乙,U+4E59,을,새
圪,U+572A,을,
鳦,U+9CE6,을,제비
蔭,U+852D,음,덮을
愔,U+6114,음,조용할
韾,U+97FE,음,
喑,U+5591,음,소리지를
崟,U+5D1F,음,멧부리
廕,U+5ED5,음,덮을
霪,U+972A,음,장마
噾,U+567E,음,
邑,U+9091,읍,고을
泣,U+6CE3,읍,눈물 줄줄 흘릴
揖,U+63D6,읍,읍할
悒,U+6092,읍,답답할
挹,U+6339,읍,잡아당길
浥,U+6D65,읍,젖을
應,U+61C9,응,응당
凝,U+51DD,응,엉길
膺,U+81BA,응,가슴
鷹,U+9DF9,응,매
𥌾,U+2533E,응,
矣,U+77E3,의,말 그칠
醫,U+91AB,의,의원
意,U+610F,의,뜻
宜,U+5B9C,의,옳을
医,U+533B,의,의원
邇,U+9087,이,가까울
飴,U+98F4,이,엿
貳,U+8CB3,이,두
媐,U+5A90,이,
杝,U+675D,이,
䏪,U+43EA,이,
㛅,U+36C5,이,
珆,U+73C6,이,옥돌
鴯,U+9D2F,이,
羡,U+7FA1,이,고을 이름
巸,U+5DF8,이,
佴,U+4F74,이,버금
廙,U+5ED9,이,
咿,U+54BF,이,선웃음칠
彝,U+5F5D,이,떳떳할
彛,U+5F5B,이,떳떳할
益,U+76CA,익,더할
翼,U+7FFC,익,날개
翊,U+7FCA,익,도울
瀷,U+7037,익,강이름
謚,U+8B1A,익,웃을
翌,U+7FCC,익,다음날
熤,U+71A4,익,빛날
弋,U+5F0B,익,주살
鷁,U+9DC1,익,익새
忍,U+5FCD,인,참을
認,U+8A8D,인,알
寅,U+5BC5,인,세째지지
印,U+5370,인,도장
一,U+4E00,일,한
日,U+65E5,일,날
逸,U+9038,일,달아날
溢,U+6EA2,일,넘칠
鎰,U+93B0,일,중량
馹,U+99B9,일,역말
佾,U+4F7E,일,춤
佚,U+4F5A,일,편안할
壹,U+58F9,일,한
劮,U+52AE,일,기쁠
泆,U+6CC6,일,끊을
軼,U+8EFC,일,앞지를
欥,U+6B25,일,
𨓜,U+284DC,일,
壬,U+58EC,임,아홉째천간
任,U+4EFB,임,맡길
賃,U+8CC3,임,품팔이
妊,U+598A,임,아이밸
稔,U+7A14,임,곡식익을
恁,U+6041,임,생각할
荏,U+834F,임,들깨
䚾,U+46BE,임,
䛘,U+46D8,임,
絍,U+7D4D,임,짤
衽,U+887D,임,옷깃
銋,U+928B,임,젖을
飪,U+98EA,임,익힐
姙,U+59D9,임,아이 밸
入,U+5165,입,들
廿,U+5EFF,입,스물
卄,U+5344,입,스물
姊,U+59CA,자,
慈,U+6148,자,사랑할
茲,U+8332,자,무성할
紫,U+7D2B,자,자주빛
秄,U+79C4,자,
褯,U+892F,자,
呰,U+5470,자,주차할
嬨,U+5B28,자,계집성품너그러고순할
孖,U+5B56,자,쌍둥이
孶,U+5B76,자,부지런할
柘,U+67D8,자,산뽕나무
泚,U+6CDA,자,맑을
牸,U+7278,자,암컷
眦,U+7726,자,흘길
眥,U+7725,자,흘길
耔,U+8014,자,복돋을
胾,U+80FE,자,고깃점
茈,U+8308,자,지치
姉,U+59C9,자,손위 누이
玆,U+7386,자,이
作,U+4F5C,작,지을
昨,U+6628,작,어제
酌,U+914C,작,따를
爵,U+7235,작,벼슬
殘,U+6B98,잔,해칠
孱,U+5B71,잔,잔약할
棧,U+68E7,잔,잔교
潺,U+6F7A,잔,물이 줄줄 흐르는 모양
盞,U+76DE,잔,작은 술잔
剗,U+5257,잔,깍을
驏,U+9A4F,잔,안장 얹지 않은 말
潛,U+6F5B,잠,잠길
暫,U+66AB,잠,잠시
箴,U+7BB4,잠,바늘
岑,U+5C91,잠,봉우리
簪,U+7C2A,잠,비녀
蠶,U+8836,잠,누에
涔,U+6D94,잠,괸물
潜,U+6F5C,잠,잠길
雜,U+96DC,잡,섞일
卡,U+5361,잡,관
囃,U+56C3,잡,장단 잡을
眨,U+7728,잡,눈 깜작일
磼,U+78FC,잡,산 높을
襍,U+894D,잡,섞일
莊,U+838A,장,엄할
裝,U+88DD,장,차려 입을
奬,U+596C,장,도울
墻,U+58BB,장,담
獐,U+7350,장,노루
臧,U+81E7,장,착할
贓,U+8D13,장,장물
醬,U+91AC,장,장
傽,U+50BD,장,놀랄
妝,U+599D,장,꾸밀
嬙,U+5B19,장,궁녀
嶂,U+5D82,장,높고 가파른 산
廧,U+5EE7,장,담
戕,U+6215,장,죽일
牂,U+7242,장,암양
瘴,U+7634,장,장기
糚,U+7CDA,장,단장할
羘,U+7F98,장,수양
栽,U+683D,재,심을
再,U+518D,재,두 번
哉,U+54C9,재,비로소
災,U+707D,재,재앙
㘽,U+363D,재,
爭,U+722D,쟁,다툴
錚,U+931A,쟁,쇳소리 쟁그렁거릴
箏,U+7B8F,쟁,쟁
諍,U+8ACD,쟁,간할
崢,U+5D22,쟁,가파를
猙,U+7319,쟁,밉살스럴
琤,U+7424,쟁,옥소리
鎗,U+9397,쟁,금석소리
箸,U+7BB8,저,젓가락
紵,U+7D35,저,모시
菹,U+83F9,저,김치
藷,U+85F7,저,마
詛,U+8A5B,저,저주할
躇,U+8E87,저,머뭇거릴
這,U+9019,저,맞을
雎,U+96CE,저,저구
齟,U+9F5F,저,이 어긋날
宁,U+5B81,저,조회 받는 곳
岨,U+5CA8,저,돌산에 흙 덮일
杼,U+677C,저,북
柢,U+67E2,저,뿌리
氐,U+6C10,저,낮을
滴,U+6EF4,적,물방울
摘,U+6458,적,딸
寂,U+5BC2,적,고요할
籍,U+7C4D,적,문서
展,U+5C55,전,펼칠
戰,U+6230,전,싸움
電,U+96FB,전,번개
錢,U+9322,전,돈
鐫,U+942B,전,새길
顫,U+986B,전,사지 떨릴
餞,U+991E,전,전별잔치
吮,U+542E,전,빨
囀,U+56C0,전,새 지저귈
嫥,U+5AE5,전,아름다울
屇,U+5C47,전,구멍
巓,U+5DD3,전,산꼭대기
戩,U+6229,전,다할
揃,U+63C3,전,가를
旃,U+65C3,전,기
栴,U+6834,전,향나무
湔,U+6E54,전,빨
澶,U+6FB6,전,물이름
晢,U+6662,절,밝을
截,U+622A,절,끊을
浙,U+6D59,절,쌀 씻을
癤,U+7664,절,멍울
岊,U+5C8A,절,산 모퉁이 우뚝 내밀
絕,U+7D55,절,끊을
絶,U+7D76,절,끊을
店,U+5E97,점,가게
占,U+5360,점,점칠
點,U+9EDE,점,더러울
漸,U+6F38,점,번질
点,U+70B9,점,점
奌,U+594C,점,점찍을
接,U+63A5,접,사귈
蝶,U+8776,접,들나비
摺,U+647A,접,접을
椄,U+6904,접,나무 접붙일
楪,U+696A,접,널평상
蜨,U+8728,접,나비
跕,U+8DD5,접,미끄러질
蹀,U+8E40,접,저벅저벅 걸을
鰈,U+9C08,접,가자미
精,U+7CBE,정,정교할
情,U+60C5,정,뜻
靜,U+975C,정,고요할
淨,U+6DE8,정,맑을
渟,U+6E1F,정,물 고일
釘,U+91D8,정,창
涏,U+6D8F,정,
𩓞,U+294DE,정,
婷,U+5A77,정,아리따울
旌,U+65CC,정,장목기
檉,U+6A89,정,능수버들
瀞,U+701E,정,맑을
睛,U+775B,정,눈 검은자위
碇,U+7887,정,닻돌
穽,U+7A7D,정,구덩이
艇,U+8247,정,거룻배
諪,U+8AEA,정,조정할
酊,U+914A,정,비틀거릴
静,U+9759,정,
姼,U+59FC,제,
晢,U+6662,제,별이 반짝반짝 할
娣,U+5A23,제,여동생
擠,U+64E0,제,물리칠
猘,U+7318,제,미친개
睇,U+7747,제,흘끗 볼
稊,U+7A0A,제,강아지풀
緹,U+7DF9,제,붉은 비단
踶,U+8E36,제,찰
蹏,U+8E4F,제,굽
躋,U+8E8B,제,오를
鍗,U+9357,제,큰 가마
隄,U+9684,제,둑
韲,U+97F2,제,양념할
濟,U+6FDF,제,나루
済,U+6E08,제,건널
雕,U+96D5,조,독수리
昭,U+662D,조,밝을
嶆,U+5D86,조,
佻,U+4F7B,조,방정맞을
傮,U+50AE,조,마칠
刁,U+5201,조,바라
厝,U+539D,조,둘
嘈,U+5608,조,지껄일
噪,U+566A,조,떠들썩할
嬥,U+5B25,조,날씬할
徂,U+5F82,조,갈
懆,U+61C6,조,근심할
找,U+627E,조,채울
殂,U+6B82,조,죽을
曹,U+66F9,조,무리
曺,U+66FA,조,성
棗,U+68D7,조,대추나무
𠄬,U+2012C,조,
足,U+8DB3,족,발
族,U+65CF,족,겨레
簇,U+7C07,족,모일
鏃,U+93C3,족,화살촉
瘯,U+762F,족,피부병 이름
存,U+5B58,존,있을
尊,U+5C0A,존,존귀할
拵,U+62F5,존,꽂을
卒,U+5352,졸,군사
拙,U+62D9,졸,서툴
猝,U+731D,졸,갑자기
椶,U+6936,종,종려나무
棕,U+68D5,종,종려나무
蹤,U+8E64,종,자취
踪,U+8E2A,종,자취
左,U+5DE6,좌,왼
坐,U+5750,좌,앉을
佐,U+4F50,좌,도울
座,U+5EA7,좌,자리
挫,U+632B,좌,꺽을
剉,U+5249,좌,꺽을
痤,U+75E4,좌,뾰루지
莝,U+839D,좌,여물
髽,U+9AFD,좌,북상투
罪,U+7F6A,죄,허물
舟,U+821F,주,배
周,U+5468,주,두루
株,U+682A,주,그루
州,U+5DDE,주,고을
皗,U+7697,주,
邾,U+90BE,주,나라이름
䎻,U+43BB,주,
絑,U+7D51,주,
䝬,U+476C,주,
椆,U+6906,주,
㫶,U+3AF6,주,
珘,U+73D8,주,
紸,U+7D38,주,
調,U+8ABF,주,아침
晭,U+666D,주,
丟,U+4E1F,주,갈
侜,U+4F9C,주,속일
儔,U+5114,주,무리
遒,U+9052,주,다가설
逎,U+900E,주,
湊,U+6E4A,주,모일
凑,U+51D1,주,모일
竹,U+7AF9,죽,대
粥,U+7CA5,죽,죽
準,U+6E96,준,수준기
俊,U+4FCA,준,준걸
遵,U+9075,준,좇을
樽,U+6A3D,준,술그릇
蠢,U+8822,준,꿈틀거릴
逡,U+9021,준,뒷걸음칠
純,U+7D14,준,선으로 두를
葰,U+8470,준,
竴,U+7AF4,준,
僔,U+50D4,준,모을
陖,U+9656,준,
睃,U+7743,준,
餕,U+9915,준,대궁
迿,U+8FFF,준,
惷,U+60F7,준,어수선할
𨶊,U+28D8A,준,
懏,U+61CF,준,
凖,U+51D6,준,準의 俗
濬,U+6FEC,준,칠
䜭,U+472D,준,
埈,U+57C8,준,가파를
中,U+4E2D,중,가운데
重,U+91CD,중,무거울
衆,U+8846,중,무리
仲,U+4EF2,중,버금
眾,U+773E,중,무리
卽,U+537D,즉,곧
喞,U+559E,즉,두런거릴
即,U+5373,즉,곧
烝,U+70DD,증,김 오를
甑,U+7511,증,시루
拯,U+62EF,증,건질
繒,U+7E52,증,비단
嶒,U+5D92,증,산 높고 험할
矰,U+77F0,증,주살
罾,U+7F7E,증,어망
知,U+77E5,지,알
𥎵,U+253B5,지,
智,U+667A,지,슬기
𥏾,U+253FE,지,
直,U+76F4,직,곧을
職,U+8077,직,벼슬
織,U+7E54,직,짤
稙,U+7A19,직,올벼
稷,U+7A37,직,기장
禝,U+799D,직,사람 이름
振,U+632F,진,떨칠
鎭,U+93AD,진,누를
陣,U+9663,진,줄
陳,U+9673,진,늘어놓을
質,U+8CEA,질,바탕
秩,U+79E9,질,차례
疾,U+75BE,질,병
姪,U+59EA,질,조카
集,U+96C6,집,모일
執,U+57F7,집,잡을
什,U+4EC0,집,세간
潗,U+6F57,집,샘솟을
輯,U+8F2F,집,모을
楫,U+696B,집,노
鏶,U+93F6,집,판금
緝,U+7DDD,집,낳을
咠,U+54A0,집,참소할
戢,U+6222,집,그칠
𬄕,U+2C115,집,
徵,U+5FB5,징,부를
懲,U+61F2,징,혼날
澄,U+6F84,징,맑을
澂,U+6F82,징,맑을
瀓,U+7013,징,맑을
癥,U+7665,징,적취
瞪,U+77AA,징,바로 볼
着,U+7740,착,붙을
錯,U+932F,착,섞일
捉,U+6349,착,잡을
搾,U+643E,착,짤
窄,U+7A84,착,좁을
鑿,U+947F,착,뚫을
齪,U+9F6A,착,악착할
戳,U+6233,착,창으로 찌를
擉,U+64C9,착,찌를
斲,U+65B2,착,깎을
贊,U+8D0A,찬,도울
讚,U+8B9A,찬,기릴
察,U+5BDF,찰,살필
札,U+672D,찰,패
刹,U+5239,찰,절
擦,U+64E6,찰,뿌릴
紮,U+7D2E,찰,감을
扎,U+624E,찰,뺄
參,U+53C3,참,간여할
慘,U+6158,참,참혹할
慙,U+6159,참,부끄러울
慚,U+615A,참,부끄러울
滄,U+6EC4,창,찰
淐,U+6DD0,창,
晿,U+667F,창,
淌,U+6DCC,창,
倀,U+5000,창,미칠
傖,U+5096,창,천할
凔,U+51D4,창,찰
刱,U+5231,창,비롯할
悵,U+60B5,창,슬퍼할
惝,U+60DD,창,멍할
戧,U+6227,창,다칠
搶,U+6436,창,닿을
氅,U+6C05,창,새털
瑲,U+7472,창,옥 소리
菜,U+83DC,채,나물
採,U+63A1,채,캘
彩,U+5F69,채,무늬
債,U+50B5,채,빚
采,U+91C7,채,캘
埰,U+57F0,채,영지
寀,U+5BC0,채,녹봉
蔡,U+8521,채,거북
綵,U+7DB5,채,비단
寨,U+5BE8,채,울짱
砦,U+7826,채,울타리
釵,U+91F5,채,비녀
琗,U+7417,채,
責,U+8CAC,채,꾸짖을
棌,U+68CC,채,참나무
婇,U+5A47,채,
睬,U+776C,채,주목할
茝,U+831D,채,구리때
責,U+8CAC,책,꾸짖을
冊,U+518A,책,책
策,U+7B56,책,채찍
柵,U+67F5,책,울짱
嘖,U+5616,책,외칠
幘,U+5E58,책,건
磔,U+78D4,책,찢을
笧,U+7B27,책,책 상자
簀,U+7C00,책,살평상
蚱,U+86B1,책,벼메뚜기
册,U+518C,책,책
妻,U+59BB,처,아내
處,U+8655,처,살
凄,U+51C4,처,쓸쓸할
悽,U+60BD,처,슬퍼할
淒,U+6DD2,처,쓸쓸할
萋,U+840B,처,풀 성하게 우거진 모양
覷,U+89B7,처,엿볼
郪,U+90EA,처,고을 이름
処,U+51E6,처,위치할
尺,U+5C3A,척,자
斥,U+65A5,척,물리칠
拓,U+62D3,척,주울
戚,U+621A,척,겨레
墌,U+588C,척,
坧,U+5767,척,기지
慼,U+617C,척,근심할
慽,U+617D,척,근심할
淺,U+6DFA,천,얕을
賤,U+8CE4,천,천할
踐,U+8E10,천,밟을
遷,U+9077,천,옮길
鐵,U+9435,철,쇠
哲,U+54F2,철,밝을
徹,U+5FB9,철,통할
喆,U+5586,철,밝을
鉄,U+9244,철,쇠
尖,U+5C16,첨,뾰족할
添,U+6DFB,첨,더할
甜,U+751C,첨,달
甛,U+751B,첨,달
妾,U+59BE,첩,첩
帖,U+5E16,첩,표제
捷,U+6377,첩,이길
堞,U+581E,첩,성가퀴
牒,U+7252,첩,글씨판
疊,U+758A,첩,거듭
睫,U+776B,첩,속눈썹
諜,U+8ADC,첩,염탐할
貼,U+8CBC,첩,붙을
輒,U+8F12,첩,문득
倢,U+5022,첩,빠를
呫,U+546B,첩,맛 볼
喋,U+558B,첩,재잘거릴
怗,U+6017,첩,고요할
褺,U+893A,첩,겹옷
菁,U+83C1,청,부추꽃
鯖,U+9BD6,청,청어
凊,U+51CA,청,서늘할
圊,U+570A,청,뒷간
蜻,U+873B,청,귀뚜라미
鶄,U+9D84,청,교청새
婧,U+5A67,청,날씬한
草,U+8349,초,풀
艸,U+8278,초,풀
促,U+4FC3,촉,핍박할
燭,U+71ED,촉,촛불
觸,U+89F8,촉,받을
囑,U+56D1,촉,부탁할
矗,U+77D7,촉,곧을
蜀,U+8700,촉,촉규화벌레
曯,U+66EF,촉,비칠
爥,U+7225,촉,비칠
矚,U+77DA,촉,볼
薥,U+85A5,촉,촉규화
躅,U+8E85,촉,자취
髑,U+9AD1,촉,해골
寸,U+5BF8,촌,치
村,U+6751,촌,마을
忖,U+5FD6,촌,헤아릴
吋,U+540B,촌,인치(inch)
邨,U+90A8,촌,마을
銃,U+9283,총,도끼 구멍
總,U+7E3D,총,꿰맬
聰,U+8070,총,귀 밝을
寵,U+5BF5,총,사랑할
叢,U+53E2,총,떨기
悤,U+60A4,총,바쁠
憁,U+6181,총,실심할
摠,U+6460,총,거느릴
蔥,U+8525,총,파
冢,U+51A2,총,무덤
葱,U+8471,총,풀 더북할
蓯,U+84EF,총,풀 더북할
鏦,U+93E6,총,창
驄,U+9A44,총,총이말
聡,U+8061,총,
塚,U+585A,총,무덤
総,U+7DCF,총,다
最,U+6700,최,가장
催,U+50AC,최,재촉할
崔,U+5D14,최,산 우뚝할
嘬,U+562C,최,물
摧,U+6467,최,꺾을
榱,U+69B1,최,서까래
漼,U+6F3C,최,깊을
璀,U+7480,최,옥빛 찬란할
磪,U+78EA,최,험하고 높을
縗,U+7E17,최,상복
脧,U+8127,최,불알
鰌,U+9C0C,추,미꾸라지
鰍,U+9C0D,추,미꾸라지
軸,U+8EF8,축,바디집
竺,U+7AFA,축,나라이름
筑,U+7B51,축,비파
蹙,U+8E59,축,찡그릴
蹴,U+8E74,축,찰
妯,U+59AF,축,동서
舳,U+8233,축,고물
豖,U+8C56,축,발 얽은 돼지걸음
蹜,U+8E5C,축,발 끌어 디딜
鼀,U+9F00,축,두꺼비
春,U+6625,춘,봄
椿,U+693F,춘,참죽나무
瑃,U+7443,춘,옥 이름
賰,U+8CF0,춘,
出,U+51FA,출,날
朮,U+672E,출,삽주뿌리
黜,U+9EDC,출,내칠
秫,U+79EB,출,차조
充,U+5145,충,가득찰
忠,U+5FE0,충,충성
蟲,U+87F2,충,벌레
衝,U+885D,충,충돌할
珫,U+73EB,충,귀고리 옥
沖,U+6C96,충,깊을
衷,U+8877,충,가운데
忡,U+5FE1,충,근심할
虫,U+866B,충,벌레
冲,U+51B2,충,깊을
翠,U+7FE0,취,비취
聚,U+805A,취,모을
嘴,U+5634,취,부리
娶,U+5A36,취,장가들
炊,U+708A,취,불 지필
脆,U+8106,취,연할
驟,U+9A5F,취,몰아갈
鷲,U+9DF2,취,독수리
冣,U+51A3,취,쌓을
橇,U+6A47,취,진흙 썰매
毳,U+6BF3,취,솜털
側,U+5074,측,곁
測,U+6E2C,측,측량할
仄,U+4EC4,측,기울
惻,U+60FB,측,슬플
廁,U+5EC1,측,뒷간
昃,U+6603,측,기울
厠,U+53A0,측,뒷간
層,U+5C64,층,겹
輜,U+8F1C,치,짐수레
稚,U+7A1A,치,어린 벼
卮,U+536E,치,술잔
哆,U+54C6,치,입 딱 벌일
寘,U+5BD8,치,둘
畤,U+7564,치,제터
痓,U+75D3,치,풍병
絺,U+7D7A,치,가는 칡베
菑,U+83D1,치,따비밭
薙,U+8599,치,풀 깎을
褫,U+892B,치,옷 빼앗을
豸,U+8C78,치,발 없는 벌레
跱,U+8DF1,치,머뭇거릴
錙,U+9319,치,저울눈
癡,U+7661,치,어리석을
痴,U+75F4,치,어리석을
穉,U+7A49,치,어릴
則,U+5247,칙,법칙
勅,U+52C5,칙,신칙할
飭,U+98ED,칙,갖출
敕,U+6555,칙,경계할
親,U+89AA,친,사랑할
櫬,U+6AEC,친,관
襯,U+896F,친,속옷
七,U+4E03,칠,일곱
漆,U+6F06,칠,옻나무
柒,U+67D2,칠,일곱
琛,U+741B,침,보배
砧,U+7827,침,방칫돌
鍼,U+937C,침,바늘
棽,U+68FD,침,
寖,U+5BD6,침,젖을
忱,U+5FF1,침,믿을
椹,U+6939,침,모탕
郴,U+90F4,침,땅이름
鋟,U+92DF,침,새길
駸,U+99F8,침,말 몰아 달릴
稱,U+7A31,칭,저울질할
秤,U+79E4,칭,저울
快,U+5FEB,쾌,기분이 좋을
夬,U+592C,쾌,결단할
噲,U+5672,쾌,목구멍
他,U+4ED6,타,다를
打,U+6253,타,때릴
妥,U+59A5,타,편안할
墮,U+58AE,타,떨어질
橢,U+6A62,타,둥글길죽할
楕,U+6955,타,길고 둥글
濁,U+6FC1,탁,흐릴
托,U+6258,탁,밀칠
濯,U+6FEF,탁,씻을
卓,U+5353,탁,높을
橐,U+6A50,탁,전대
槖,U+69D6,탁,
炭,U+70AD,탄,숯
歎,U+6B4E,탄,탄식할
彈,U+5F48,탄,쏠
誕,U+8A95,탄,기를
呑,U+5451,탄,삼킬
坦,U+5766,탄,너그러울
灘,U+7058,탄,여울
嘆,U+5606,탄,한숨쉴
憚,U+619A,탄,수고로울
綻,U+7DBB,탄,옷 터질
暺,U+66BA,탄,
憻,U+61BB,탄,평탄할
攤,U+6524,탄,열
殫,U+6BAB,탄,다할
癱,U+7671,탄,중풍증
驒,U+9A52,탄,돈짝무늬총이말
脫,U+812B,탈,벗어날
奪,U+596A,탈,빼앗을
侻,U+4FBB,탈,간사할
探,U+63A2,탐,더듬을
貪,U+8CAA,탐,탐할
耽,U+803D,탐,즐길
眈,U+7708,탐,노려볼
嗿,U+55FF,탐,여럿이 먹는 소리
忐,U+5FD0,탐,마을 허할
酖,U+9156,탐,술 즐길
塔,U+5854,탑,탑
榻,U+69BB,탑,평상
傝,U+509D,탑,답답할
塌,U+584C,탑,낮은 땅
搨,U+6428,탑,비문 박을
湯,U+6E6F,탕,물 끓일
宕,U+5B95,탕,골집
帑,U+5E11,탕,나라 곳집
糖,U+7CD6,탕,엿
蕩,U+8569,탕,넓고 클
燙,U+71D9,탕,씻을
