hanja,unicode,reading,meaning_kw
圈,U+5708,권,둥글
眷,U+7737,권,돌아볼
倦,U+5026,권,게으를
捲,U+6372,권,거둘
淃,U+6DC3,권,물돌아 흐를
勌,U+52CC,권,게으를
惓,U+60D3,권,삼갈
棬,U+68EC,권,휘어만든 나무그릇
睠,U+7760,권,돌볼
綣,U+7DA3,권,정다울
蜷,U+8737,권,움추러질
權,U+6B0A,권,권세
権,U+6A29,권,권세
厥,U+53A5,궐,그
闕,U+95D5,궐,대궐
獗,U+7357,궐,도둑 일어날
蕨,U+8568,궐,고사리
蹶,U+8E76,궐,우물벌레
軌,U+8ECC,궤,수레바퀴 사이
貴,U+8CB4,귀,높을
歸,U+6B78,귀,돌아올
鬼,U+9B3C,귀,귀신
句,U+53E5,귀,글귀
晷,U+6677,귀,시각
䤥,U+4925,귀,
龜,U+9F9C,귀,거북
叫,U+53EB,규,부를
規,U+898F,규,그림쇠
糾,U+7CFE,규,삼합노
湀,U+6E40,규,
茥,U+8325,규,
煃,U+7143,규,
刲,U+5232,규,찌를
嬀,U+5B00,규,성
巋,U+5DCB,규,높고 험준할
暌,U+668C,규,해질
楏,U+694F,규,호미자루
樛,U+6A1B,규,나무가지 휘어질
潙,U+6F59,규,물이름
睽,U+777D,규,어그러질
虯,U+866F,규,뿔없는 용
跬,U+8DEC,규,한발자국
闚,U+95DA,규,갸웃이 볼
糺,U+7CFA,규,거둘
均,U+5747,균,고를
菌,U+83CC,균,버섯
畇,U+7547,균,밭개간할
鈞,U+921E,균,서른 근
筠,U+7B60,균,대껍질
勻,U+52FB,균,고를
龜,U+9F9C,균,(피부가)틀
覠,U+89A0,균,
囷,U+56F7,균,둥근곳집
麏,U+9E8F,균,고라니
匀,U+5300,균,고를
極,U+6975,극,가운데
克,U+514B,극,이길
劇,U+5287,극,심할
剋,U+524B,극,깍일
隙,U+9699,극,틈
戟,U+621F,극,갈래진 창
棘,U+68D8,극,가시나무
亟,U+4E9F,극,빠를
尅,U+5C05,극,이길
屐,U+5C50,극,나막신
郄,U+90C4,극,틈
衾,U+887E,금,이불
襟,U+895F,금,옷깃
昑,U+6611,금,밝을
妗,U+5997,금,외숙모
擒,U+64D2,금,사로잡을
檎,U+6A8E,금,능금나무
芩,U+82A9,금,풀 이름
衿,U+887F,금,옷깃
唫,U+552B,금,입 다물
噤,U+5664,금,입 다물
嶔,U+5D94,금,높고 험할
笒,U+7B12,금,첨대
黅,U+9EC5,금,누른 빛
及,U+53CA,급,미칠
給,U+7D66,급,넉넉할
急,U+6025,급,급할
級,U+7D1A,급,등급
汲,U+6C72,급,길을
伋,U+4F0B,급,속일
扱,U+6271,급,미칠
圾,U+573E,급,위태할
岌,U+5C8C,급,높을
皀,U+7680,급,고소할
礏,U+790F,급,산 높은 모양
笈,U+7B08,급,책상자
芨,U+82A8,급,말오줌나무
肯,U+80AF,긍,옳이 여길
亘,U+4E98,긍,구할
兢,U+5162,긍,삼갈
矜,U+77DC,긍,불쌍히 여길
殑,U+6B91,긍,까무라칠
亙,U+4E99,긍,뻗칠
旗,U+65D7,기,기
欺,U+6B3A,기,속일
奇,U+5947,기,기이할
騎,U+9A0E,기,말탈
棋,U+68CB,기,바둑
碁,U+7881,기,바둑
璣,U+74A3,기,구슬
㼄,U+3F04,기,
緊,U+7DCA,긴,굳게 얽힐
吉,U+5409,길,길할
佶,U+4F76,길,건장할
桔,U+6854,길,도라지
姞,U+59DE,길,성
拮,U+62EE,길,일할
蛣,U+86E3,길,장구벌레
那,U+90A3,나,어찌
諾,U+8AFE,낙,대답할
暖,U+6696,난,따뜻할
難,U+96E3,난,어려울
煖,U+7156,난,따뜻할
偄,U+5044,난,언약할
愞,U+611E,난,
赧,U+8D67,난,얼굴 붉힐
餪,U+992A,난,풀보기 잔치
南,U+5357,남,남녘
男,U+7537,남,사내
楠,U+6960,남,녹나무
湳,U+6E73,남,강 이름
枏,U+678F,남,녹나무
喃,U+5583,남,재잘거릴
納,U+7D0D,납,바칠
衲,U+8872,납,기울
娘,U+5A18,낭,아가씨
囊,U+56CA,낭,주머니
曩,U+66E9,낭,접때
內,U+5167,내,안
乃,U+4E43,내,이에
奈,U+5948,내,어찌
耐,U+8010,내,견딜
柰,U+67F0,내,능금나무
奶,U+5976,내,젖
嬭,U+5B2D,내,젖
迺,U+8FFA,내,이에
鼐,U+9F10,내,가마솥
女,U+5973,녀,계집
年,U+5E74,년,해
撚,U+649A,년,비틀
碾,U+78BE,년,맷돌
秊,U+79CA,년,해
念,U+5FF5,념,생각
恬,U+606C,념,편안할
拈,U+62C8,념,집을
捻,U+637B,념,비틀
寧,U+5BE7,녕,편안할
獰,U+7370,녕,모질
佞,U+4F5E,녕,재주
儜,U+511C,녕,고달플
嚀,U+5680,녕,정녕할
濘,U+6FD8,녕,진흙
寗,U+5BD7,녕,편안할
怒,U+6012,노,성낼
奴,U+5974,노,종
努,U+52AA,노,힘쓸
弩,U+5F29,노,쇠뇌(여러 개의 화살이나 돌을 잇따라 쏘게 된 큰 활)
瑙,U+7459,노,마노
駑,U+99D1,노,둔할
䛝,U+46DD,노,
呶,U+5476,노,들랠
孥,U+5B65,노,자식
峱,U+5CF1,노,산이름
猱,U+7331,노,못할
笯,U+7B2F,노,새장
臑,U+81D1,노,팔마디
農,U+8FB2,농,농사
膿,U+81BF,농,고름
濃,U+6FC3,농,짙을
儂,U+5102,농,나
噥,U+5665,농,달게 먹을
穠,U+7A60,농,후한 제사
醲,U+91B2,농,텁텁한 술
腦,U+8166,뇌,머리
惱,U+60F1,뇌,괴로워할
餒,U+9912,뇌,굶길
能,U+80FD,능,능할
泥,U+6CE5,니,막힐
尼,U+5C3C,니,여승
柅,U+67C5,니,얼레자루
濔,U+6FD4,니,
膩,U+81A9,니,살찔
馜,U+999C,니,
㦐,U+3990,니,
呢,U+5462,니,소근거릴
怩,U+6029,니,부끄러워할
祢,U+7962,니,아비사당
禰,U+79B0,니,아비사당
妮,U+59AE,니,
多,U+591A,다,많을
茶,U+8336,다,차풀
爹,U+7239,다,아비
𥥸,U+25978,다,
𣘻,U+2363B,다,
茤,U+8324,다,
觰,U+89F0,다,
鄲,U+9132,다,조나라 서울
奲,U+5972,다,
夛,U+591B,다,
端,U+7AEF,단,끝
旦,U+65E6,단,밝을
段,U+6BB5,단,층계
壇,U+58C7,단,제터
達,U+9054,달,통달할
撻,U+64BB,달,매질할
澾,U+6FBE,달,미끄러울
獺,U+737A,달,수달
疸,U+75B8,달,황달
妲,U+59B2,달,계집의 이름
怛,U+601B,달,깜짝 놀랄
闥,U+95E5,달,대문
靼,U+977C,달,다룬가죽
韃,U+97C3,달,칠
談,U+8AC7,담,말씀
淡,U+6DE1,담,물모양
擔,U+64D4,담,질
倓,U+5013,담,편안할
啿,U+557F,담,많을
埮,U+57EE,담,
炎,U+708E,담,불꽃
儋,U+510B,담,기운차고 날쌜해집
啗,U+5557,담,씹을
噉,U+5649,담,씹을
墰,U+58B0,담,목긴 술병
壜,U+58DC,담,술병
毯,U+6BEF,담,담자리
禫,U+79AB,담,담제
罎,U+7F4E,담,술병
薝,U+859D,담,치자나무
郯,U+90EF,담,나라이름
答,U+7B54,답,젖을
畓,U+7553,답,논
踏,U+8E0F,답,떨어지는 소리
沓,U+6C93,답,거듭
遝,U+905D,답,가다가설
臺,U+81FA,대,능
坮,U+576E,대,들
擡,U+64E1,대,들
抬,U+62AC,대,칠
德,U+5FB7,덕,큰
悳,U+60B3,덕,큰
徳,U+5FB3,덕,큰
都,U+90FD,도,도읍
桃,U+6843,도,복숭아 나무
挑,U+6311,도,돋을
跳,U+8DF3,도,뛸
睹,U+7779,도,볼
萄,U+8404,도,포도나무
覩,U+89A9,도,볼
賭,U+8CED,도,노름
韜,U+97DC,도,활집
馟,U+999F,도,
祹,U+7979,도,
鋾,U+92FE,도,
夲,U+5932,도,
稌,U+7A0C,도,찰벼
叨,U+53E8,도,탐할
壔,U+58D4,도,작은 성
弢,U+5F22,도,활집
忉,U+5FC9,도,근심할
島,U+5CF6,도,섬
嶋,U+5D8B,도,섬
道,U+9053,도,길
噵,U+5675,도,
瀆,U+7006,독,도랑
牘,U+7258,독,편지
犢,U+72A2,독,송아지
禿,U+79BF,독,대머리
纛,U+7E9B,독,클 깃발
櫝,U+6ADD,독,함
黷,U+9EF7,독,더러울
豚,U+8C5A,돈,돼지
敦,U+6566,돈,도타울
墩,U+58A9,돈,돈대
惇,U+60C7,돈,두터울
暾,U+66BE,돈,아침해
燉,U+71C9,돈,불 성할
頓,U+9813,돈,조아릴
旽,U+65FD,돈,늘 돋을
沌,U+6C8C,돈,기름 덩어리
焞,U+711E,돈,귀갑 지지는 불
弴,U+5F34,돈,그림 그린 활
潡,U+6F61,돈,큰 물
躉,U+8E89,돈,거룻배
突,U+7A81,돌,부딪칠
乭,U+4E6D,돌,이름
咄,U+5484,돌,꾸짖을
堗,U+5817,돌,굴똑
同,U+540C,동,같을
仝,U+4EDD,동,한가지
斗,U+6597,두,말
豆,U+8C46,두,콩
頭,U+982D,두,머리
鈍,U+920D,둔,무딜
屯,U+5C6F,둔,진칠
遁,U+9041,둔,달아날
臀,U+81C0,둔,볼기
芚,U+829A,둔,채소 이름
遯,U+906F,둔,달아날
窀,U+7A80,둔,광중
迍,U+8FCD,둔,머뭇거릴
得,U+5F97,득,얻을
等,U+7B49,등,가지런할
登,U+767B,등,오를
燈,U+71C8,등,등잔
騰,U+9A30,등,오를
藤,U+85E4,등,등나무
謄,U+8B04,등,베낄
鄧,U+9127,등,나라 이름
嶝,U+5D9D,등,고개
橙,U+6A59,등,등자나무
凳,U+51F3,등,걸상
墱,U+58B1,등,자드락길
滕,U+6ED5,등,물 솟을
磴,U+78F4,등,돌 비탈길
籐,U+7C50,등,대 기구
縢,U+7E22,등,봉할
螣,U+87A3,등,등사
鐙,U+9419,등,등잔
羅,U+7F85,라,새그물
落,U+843D,락,떨어질
樂,U+6A02,락,즐길
絡,U+7D61,락,헌솜
珞,U+73DE,락,구슬 목걸이
酪,U+916A,락,진한 유즙
烙,U+70D9,락,지질
駱,U+99F1,락,낙타
洛,U+6D1B,락,강이름
嗠,U+55E0,락,진한 유즙
犖,U+7296,락,얼룩소
卵,U+5375,란,알
亂,U+4E82,란,어지러울
蘭,U+862D,란,난초
欄,U+6B04,란,난간
覽,U+89BD,람,볼
濫,U+6FEB,람,퍼질
嵐,U+5D50,람,남기
攬,U+652C,람,잡을
欖,U+6B16,람,감람나무
籃,U+7C43,람,바구니
纜,U+7E9C,람,닻줄
襤,U+8964,람,누더기
藍,U+85CD,람,쪽
㛦,U+36E6,람,
灆,U+7046,람,
婪,U+5A6A,람,탐할
漤,U+6F24,람,
爁,U+7201,람,
璼,U+74BC,람,
惏,U+60CF,람,떨릴
擥,U+64E5,람,가질
𢱯,U+22C6F,람,
浪,U+6D6A,랑,물결
郞,U+90DE,랑,사나이
廊,U+5ECA,랑,복도
琅,U+7405,랑,옥 이름
瑯,U+746F,랑,고을 이름
狼,U+72FC,랑,이리
朗,U+6717,랑,밝을
烺,U+70FA,랑,
蜋,U+870B,랑,사마귀
㢃,U+3883,랑,
駺,U+99FA,랑,
榔,U+6994,랑,나무 이름
閬,U+95AC,랑,솟을 대문
硠,U+7860,랑,돌 부딪는 소라
稂,U+7A02,랑,강아지 풀
莨,U+83A8,랑,수크령
㫰,U+3AF0,랑,
螂,U+8782,랑,사마귀
郎,U+90CE,랑,남편
來,U+4F86,래,올
崍,U+5D0D,래,산 이름
萊,U+840A,래,명아주
徠,U+5FA0,래,올
淶,U+6DF6,래,강 이름
騋,U+9A0B,래,큰 말
唻,U+553B,래,
来,U+6765,래,
𧼛,U+27F1B,래,
冷,U+51B7,랭,찰
略,U+7565,략,다스릴
掠,U+63A0,략,노략질할
畧,U+7567,략,다스릴
亮,U+4EAE,량,밝을
倆,U+5006,량,재주
樑,U+6A11,량,들보
粱,U+7CB1,량,기장
輛,U+8F1B,량,수레
駺,U+99FA,량,
俍,U+4FCD,량,어질
喨,U+55A8,량,소리 맑을
悢,U+60A2,량,슬퍼할
踉,U+8E09,량,뛸
魎,U+9B4E,량,도깨비
糧,U+7CE7,량,양식
粮,U+7CAE,량,양식
涼,U+6DBC,량,서늘할
凉,U+51C9,량,서늘할
旅,U+65C5,려,군사
麗,U+9E97,려,고울
慮,U+616E,려,생각할
勵,U+52F5,려,힘쓸
力,U+529B,력,힘
歷,U+6B77,력,지낼
曆,U+66C6,력,책력
瀝,U+701D,력,거를
礫,U+792B,력,조약돌
轢,U+8F62,력,삐걱거릴
靂,U+9742,력,벼락
攊,U+650A,력,칠
櫟,U+6ADF,력,상수리나무
櫪,U+6AEA,력,말구유
癧,U+7667,력,연주창
轣,U+8F63,력,갈
酈,U+9148,력,땅 이름
煉,U+7149,련,불릴
璉,U+7489,련,호련
攣,U+6523,련,걸릴
漣,U+6F23,련,물놀이
輦,U+8F26,련,손수레
孌,U+5B4C,련,아름다울
𨏶,U+283F6,련,
楝,U+695D,련,멀구슬나무
湅,U+6E45,련,누일
臠,U+81E0,련,저민고기
鏈,U+93C8,련,쇠사슬
鰊,U+9C0A,련,고기 이름
鰱,U+9C31,련,연어
奱,U+5971,련,
列,U+5217,렬,줄
烈,U+70C8,렬,세찰
裂,U+88C2,렬,찢을
劣,U+52A3,렬,못할
洌,U+6D0C,렬,맑을
冽,U+51BD,렬,찰
挒,U+6312,렬,비틀
捩,U+6369,렬,비틀
颲,U+98B2,렬,사나운 바람
廉,U+5EC9,렴,청렴할
濂,U+6FC2,렴,내 이름
簾,U+7C3E,렴,발
斂,U+6582,렴,거둘
殮,U+6BAE,렴,염할
瀲,U+7032,렴,넘칠
磏,U+78CF,렴,거친 숫돌
獵,U+7375,렵,사냥
躐,U+8E90,렵,밟을
鬣,U+9B23,렵,갈기
岭,U+5CAD,령,산 이름
岺,U+5CBA,령,재
例,U+4F8B,례,법식
禮,U+79AE,례,예도
隷,U+96B7,례,종
澧,U+6FA7,례,강 이름
醴,U+91B4,례,단술
隸,U+96B8,례,붙을
鱧,U+9C67,례,가물치
礼,U+793C,례,예도
櫨,U+6AE8,로,
蕗,U+8557,로,
潦,U+6F66,로,큰 비
瓐,U+74D0,로,
澇,U+6F87,로,
壚,U+58DA,로,흑토
滷,U+6EF7,로,소금밭
玈,U+7388,로,검을
癆,U+7646,로,종독
窂,U+7A82,로,우리
鸕,U+9E15,로,가마우지
艪,U+826A,로,노
艫,U+826B,로,뱃머리
轤,U+8F64,로,고패
虜,U+865C,로,포로
綠,U+7DA0,록,초록빛
祿,U+797F,록,복
錄,U+9304,록,기록할
鹿,U+9E7F,록,사슴
彔,U+5F54,록,나무 깍을
碌,U+788C,록,돌 모양
菉,U+83C9,록,조개풀
麓,U+9E93,록,신기슭
淥,U+6DE5,록,밭을
漉,U+6F09,록,거를
簏,U+7C0F,록,대 상자
轆,U+8F46,록,도르래
鵦,U+9D66,록,
論,U+8AD6,론,말할
弄,U+5F04,롱,희롱할
瀧,U+7027,롱,비 올
瓏,U+74CF,롱,옥소리
籠,U+7C60,롱,대그릇
壟,U+58DF,롱,언덕
朧,U+6727,롱,흐릿할
聾,U+807E,롱,귀머거리
儱,U+5131,롱,건목칠
攏,U+650F,롱,누를
曨,U+66E8,롱,어스레할
礱,U+7931,롱,갈
蘢,U+8622,롱,개여뀌
隴,U+96B4,롱,고개 이름
雷,U+96F7,뢰,우뢰
賴,U+8CF4,뢰,힘 입을
頼,U+983C,뢰,의뢰할
料,U+6599,료,되질할
了,U+4E86,료,마칠
僚,U+50DA,료,동료
龍,U+9F8D,룡,용
龒,U+9F92,룡,용
竜,U+7ADC,룡,용
柳,U+67F3,류,버들
留,U+7559,류,머무를
流,U+6D41,류,흐를
類,U+985E,류,무리
琉,U+7409,류,유리
劉,U+5289,류,죽일
硫,U+786B,류,유황
瘤,U+7624,류,혹
旒,U+65D2,류,깃발
榴,U+69B4,류,석류나무
溜,U+6E9C,류,방울져 떨어질
瀏,U+700F,류,맑을
謬,U+8B2C,류,그릇될
橊,U+6A4A,류,석류나무
縲,U+7E32,류,포승
纍,U+7E8D,류,갇힐
遛,U+905B,류,머무를
鶹,U+9DB9,류,올빼미
瑠,U+7460,류,맑은 유리
六,U+516D,륙,여섯
陸,U+9678,륙,뭍
戮,U+622E,륙,죽일
勠,U+52E0,륙,협력할
倫,U+502B,륜,인륜
輪,U+8F2A,륜,바퀴
侖,U+4F96,륜,둥글
崙,U+5D19,륜,산 이름
綸,U+7DB8,륜,낚싯줄
淪,U+6DEA,륜,물놀이
錀,U+9300,륜,
圇,U+5707,륜,완전할
掄,U+6384,륜,가릴
崘,U+5D18,륜,
律,U+5F8B,률,법
栗,U+6817,률,밤나무
率,U+7387,률,거느릴
慄,U+6144,률,두려워할
嵂,U+5D42,률,가파를
𥠲,U+25832,률,
瑮,U+746E,률,
溧,U+6EA7,률,강 이름
隆,U+9686,륭,클
癃,U+7643,륭,느른할
窿,U+7ABF,륭,활꼴
㦕,U+3995,륭,
廩,U+5EE9,름,곳집
凛,U+51DB,름,찰
菻,U+83FB,름,
澟,U+6F9F,름,서늘할
凜,U+51DC,름,찰
陵,U+9675,릉,큰 언덕
綾,U+7DBE,릉,비단
菱,U+83F1,릉,마름
稜,U+7A1C,릉,모
凌,U+51CC,릉,능가할
倰,U+5030,릉,속일
蔆,U+8506,릉,마름
楞,U+695E,릉,모
李,U+674E,리,오얏
吏,U+540F,리,벼슬아치
離,U+96E2,리,떼 놓을
裏,U+88CF,리,속
𢻠,U+22EE0,리,
犂,U+7282,리,
摛,U+645B,리,
剺,U+527A,리,벗길
哩,U+54E9,리,어조사
嫠,U+5AE0,리,과부
莅,U+8385,리,다다를
蜊,U+870A,리,참조개
螭,U+87AD,리,교륭
貍,U+8C8D,리,삵
邐,U+9090,리,이어질
魑,U+9B51,리,도깨비
黐,U+9ED0,리,끈끈이
漓,U+6F13,리,스며들
鄰,U+9130,린,이웃
麟,U+9E9F,린,기린
𪊭,U+2A2AD,린,
隣,U+96A3,린,이웃
林,U+6797,림,수풀
臨,U+81E8,림,임할
琳,U+7433,림,아름다운 옥
霖,U+9716,림,장마
