reading,hanja,unicode,meaning_kw,meaning_tags
내,乃,U+4E43,이에,균형
내,奈,U+5948,어찌,균형
내,耐,U+8010,견딜,균형
내,柰,U+67F0,능금나무,균형
내,奶,U+5976,젖,균형
내,嬭,U+5B2D,젖,균형
내,迺,U+8FFA,이에,균형
내,鼐,U+9F10,가마솥,균형
녀,女,U+5973,계집,균형
년,年,U+5E74,해,밝음
년,撚,U+649A,비틀,균형
년,碾,U+78BE,맷돌,균형
년,秊,U+79CA,해,밝음
념,念,U+5FF5,생각,균형
념,恬,U+606C,편안할,안정
념,拈,U+62C8,집을,균형
념,捻,U+637B,비틀,균형
녕,寧,U+5BE7,편안할,안정
녕,獰,U+7370,모질,균형
녕,佞,U+4F5E,재주,지혜
녕,儜,U+511C,고달플,균형
녕,嚀,U+5680,정녕할,청렴
녕,濘,U+6FD8,진흙,균형
녕,寗,U+5BD7,편안할,안정
노,怒,U+6012,성낼,균형
노,奴,U+5974,종,균형
노,努,U+52AA,힘쓸,균형
노,弩,U+5F29,쇠뇌(여러 개의 화살이나 돌을 잇따라 쏘게 된 큰 활),성장|개방
노,瑙,U+7459,마노,균형
노,駑,U+99D1,둔할,균형
노,䛝,U+46DD,,균형
노,呶,U+5476,들랠,균형
노,孥,U+5B65,자식,균형
노,峱,U+5CF1,산이름,균형
노,猱,U+7331,못할,균형
노,笯,U+7B2F,새장,강인함
노,臑,U+81D1,팔마디,균형
농,農,U+8FB2,농사,균형
농,膿,U+81BF,고름,균형
농,濃,U+6FC3,짙을,균형
농,儂,U+5102,나,균형
농,噥,U+5665,달게 먹을,균형
농,穠,U+7A60,후한 제사,균형
농,醲,U+91B2,텁텁한 술,균형
뇌,腦,U+8166,머리,균형
뇌,惱,U+60F1,괴로워할,균형
뇌,餒,U+9912,굶길,균형
능,能,U+80FD,능할,균형
니,泥,U+6CE5,막힐,균형
니,尼,U+5C3C,여승,균형
니,柅,U+67C5,얼레자루,균형
니,濔,U+6FD4,,균형
니,膩,U+81A9,살찔,균형
니,馜,U+999C,,균형
니,㦐,U+3990,,균형
니,呢,U+5462,소근거릴,균형
니,怩,U+6029,부끄러워할,균형
니,祢,U+7962,아비사당,균형
니,禰,U+79B0,아비사당,균형
니,妮,U+59AE,,균형
다,多,U+591A,많을,균형
다,茶,U+8336,차풀,균형
다,爹,U+7239,아비,균형
다,𥥸,U+25978,,균형
다,𣘻,U+2363B,,균형
다,茤,U+8324,,균형
다,觰,U+89F0,,균형
다,鄲,U+9132,조나라 서울,균형
다,奲,U+5972,,균형
다,夛,U+591B,,균형
단,端,U+7AEF,끝,균형
단,旦,U+65E6,밝을,밝음
단,段,U+6BB5,층계,균형
단,壇,U+58C7,제터,균형
달,達,U+9054,통달할,개방
달,撻,U+64BB,매질할,균형
달,澾,U+6FBE,미끄러울,균형
달,獺,U+737A,수달,균형
달,疸,U+75B8,황달,균형
달,妲,U+59B2,계집의 이름,균형
달,怛,U+601B,깜짝 놀랄,균형
달,闥,U+95E5,대문,균형
달,靼,U+977C,다룬가죽,균형
달,韃,U+97C3,칠,균형
담,談,U+8AC7,말씀,균형
담,淡,U+6DE1,물모양,균형
담,擔,U+64D4,질,균형
담,倓,U+5013,편안할,안정
담,啿,U+557F,많을,균형
담,埮,U+57EE,,균형
담,炎,U+708E,불꽃,균형
담,儋,U+510B,기운차고 날쌜해집,밝음
담,啗,U+5557,씹을,균형
담,噉,U+5649,씹을,균형
담,墰,U+58B0,목긴 술병,균형
담,壜,U+58DC,술병,균형
담,毯,U+6BEF,담자리,균형
담,禫,U+79AB,담제,균형
담,罎,U+7F4E,술병,균형
담,薝,U+859D,치자나무,균형
담,郯,U+90EF,나라이름,균형
답,答,U+7B54,젖을,균형
답,畓,U+7553,논,균형
답,踏,U+8E0F,떨어지는 소리,균형
답,沓,U+6C93,거듭,균형
답,遝,U+905D,가다가설,균형
대,臺,U+81FA,능,균형
대,坮,U+576E,들,균형
대,擡,U+64E1,들,균형
대,抬,U+62AC,칠,균형
덕,德,U+5FB7,큰,성장
덕,悳,U+60B3,큰,성장
덕,徳,U+5FB3,큰,성장
도,都,U+90FD,도읍,균형
도,桃,U+6843,복숭아 나무,균형
도,挑,U+6311,돋을,균형
도,跳,U+8DF3,뛸,균형
도,睹,U+7779,볼,균형
도,萄,U+8404,포도나무,균형
도,覩,U+89A9,볼,균형
도,賭,U+8CED,노름,균형
도,韜,U+97DC,활집,균형
도,馟,U+999F,,균형
도,祹,U+7979,,균형
도,鋾,U+92FE,,균형
도,夲,U+5932,,균형
도,稌,U+7A0C,찰벼,균형
도,叨,U+53E8,탐할,균형
도,壔,U+58D4,작은 성,균형
도,弢,U+5F22,활집,균형
도,忉,U+5FC9,근심할,균형
도,島,U+5CF6,섬,균형
도,嶋,U+5D8B,섬,균형
도,道,U+9053,길,균형
도,噵,U+5675,,균형
독,瀆,U+7006,도랑,균형
독,牘,U+7258,편지,균형
독,犢,U+72A2,송아지,균형
독,禿,U+79BF,대머리,균형
독,纛,U+7E9B,클 깃발,성장
독,櫝,U+6ADD,함,균형
독,黷,U+9EF7,더러울,균형
돈,豚,U+8C5A,돼지,균형
돈,敦,U+6566,도타울,균형
돈,墩,U+58A9,돈대,균형
돈,惇,U+60C7,두터울,균형
돈,暾,U+66BE,아침해,밝음
돈,燉,U+71C9,불 성할,균형
돈,頓,U+9813,조아릴,균형
돈,旽,U+65FD,늘 돋을,균형
돈,沌,U+6C8C,기름 덩어리,균형
돈,焞,U+711E,귀갑 지지는 불,균형
돈,弴,U+5F34,그림 그린 활,균형
돈,潡,U+6F61,큰 물,성장
돈,躉,U+8E89,거룻배,균형
돌,突,U+7A81,부딪칠,균형
돌,乭,U+4E6D,이름,균형
돌,咄,U+5484,꾸짖을,균형
돌,堗,U+5817,굴똑,균형
동,同,U+540C,같을,균형
동,仝,U+4EDD,한가지,균형
두,斗,U+6597,말,균형
두,豆,U+8C46,콩,균형
두,頭,U+982D,머리,균형
둔,鈍,U+920D,무딜,균형
둔,屯,U+5C6F,진칠,균형
둔,遁,U+9041,달아날,균형
둔,臀,U+81C0,볼기,균형
둔,芚,U+829A,채소 이름,균형
둔,遯,U+906F,달아날,균형
둔,窀,U+7A80,광중,밝음|균형
둔,迍,U+8FCD,머뭇거릴,균형
득,得,U+5F97,얻을,균형
등,等,U+7B49,가지런할,균형
등,登,U+767B,오를,균형
등,燈,U+71C8,등잔,균형
등,騰,U+9A30,오를,균형
등,藤,U+85E4,등나무,균형
등,謄,U+8B04,베낄,균형
등,鄧,U+9127,나라 이름,균형
등,嶝,U+5D9D,고개,개방
등,橙,U+6A59,등자나무,균형
등,凳,U+51F3,걸상,균형
등,墱,U+58B1,자드락길,균형
등,滕,U+6ED5,물 솟을,균형
등,磴,U+78F4,돌 비탈길,균형
등,籐,U+7C50,대 기구,균형
등,縢,U+7E22,봉할,균형
등,螣,U+87A3,등사,균형
등,鐙,U+9419,등잔,균형
라,羅,U+7F85,새그물,균형
락,落,U+843D,떨어질,지혜
락,樂,U+6A02,즐길,균형
락,絡,U+7D61,헌솜,균형
락,珞,U+73DE,구슬 목걸이,균형
락,酪,U+916A,진한 유즙,균형
락,烙,U+70D9,지질,균형
락,駱,U+99F1,낙타,균형
락,洛,U+6D1B,강이름,강인함
락,嗠,U+55E0,진한 유즙,균형
락,犖,U+7296,얼룩소,균형
란,卵,U+5375,알,균형
란,亂,U+4E82,어지러울,균형
란,蘭,U+862D,난초,균형
란,欄,U+6B04,난간,균형
람,覽,U+89BD,볼,균형
람,濫,U+6FEB,퍼질,균형
람,嵐,U+5D50,남기,균형
람,攬,U+652C,잡을,균형
람,欖,U+6B16,감람나무,균형
람,籃,U+7C43,바구니,균형
람,纜,U+7E9C,닻줄,균형
람,襤,U+8964,누더기,균형
람,藍,U+85CD,쪽,균형
람,㛦,U+36E6,,균형
람,灆,U+7046,,균형
람,婪,U+5A6A,탐할,균형
람,漤,U+6F24,,균형
람,爁,U+7201,,균형
람,璼,U+74BC,,균형
람,惏,U+60CF,떨릴,균형
람,擥,U+64E5,가질,균형
람,𢱯,U+22C6F,,균형
랑,浪,U+6D6A,물결,균형
랑,郞,U+90DE,사나이,균형
랑,廊,U+5ECA,복도,균형
랑,琅,U+7405,옥 이름,균형
랑,瑯,U+746F,고을 이름,균형
랑,狼,U+72FC,이리,균형
랑,朗,U+6717,밝을,밝음
랑,烺,U+70FA,,균형
랑,蜋,U+870B,사마귀,균형
랑,㢃,U+3883,,균형
랑,駺,U+99FA,,균형
랑,榔,U+6994,나무 이름,균형
랑,閬,U+95AC,솟을 대문,균형
랑,硠,U+7860,돌 부딪는 소라,균형
랑,稂,U+7A02,강아지 풀,강인함
랑,莨,U+83A8,수크령,성장
랑,㫰,U+3AF0,,균형
랑,螂,U+8782,사마귀,균형
랑,郎,U+90CE,남편,균형
래,來,U+4F86,올,균형
래,崍,U+5D0D,산 이름,균형
래,萊,U+840A,명아주,밝음
래,徠,U+5FA0,올,균형
래,淶,U+6DF6,강 이름,강인함
래,騋,U+9A0B,큰 말,성장
래,唻,U+553B,,균형
래,来,U+6765,,균형
래,𧼛,U+27F1B,,균형
랭,冷,U+51B7,찰,균형
략,略,U+7565,다스릴,균형
략,掠,U+63A0,노략질할,균형
략,畧,U+7567,다스릴,균형
량,亮,U+4EAE,밝을,밝음
량,倆,U+5006,재주,지혜
량,樑,U+6A11,들보,균형
량,粱,U+7CB1,기장,강인함
량,輛,U+8F1B,수레,균형
량,駺,U+99FA,,균형
량,俍,U+4FCD,어질,지혜
량,喨,U+55A8,소리 맑을,청렴
량,悢,U+60A2,슬퍼할,균형
량,踉,U+8E09,뛸,균형
량,魎,U+9B4E,도깨비,균형
량,糧,U+7CE7,양식,균형
량,粮,U+7CAE,양식,균형
량,涼,U+6DBC,서늘할,균형
량,凉,U+51C9,서늘할,균형
려,旅,U+65C5,군사,균형
려,麗,U+9E97,고울,균형
려,慮,U+616E,생각할,균형
려,勵,U+52F5,힘쓸,균형
력,力,U+529B,힘,균형
력,歷,U+6B77,지낼,균형
력,曆,U+66C6,책력,균형
력,瀝,U+701D,거를,균형
력,礫,U+792B,조약돌,균형
력,轢,U+8F62,삐걱거릴,균형
력,靂,U+9742,벼락,균형
력,攊,U+650A,칠,균형
력,櫟,U+6ADF,상수리나무,균형
력,櫪,U+6AEA,말구유,균형
력,癧,U+7667,연주창,균형
력,轣,U+8F63,갈,균형
력,酈,U+9148,땅 이름,균형
련,煉,U+7149,불릴,균형
련,璉,U+7489,호련,균형
련,攣,U+6523,걸릴,균형
련,漣,U+6F23,물놀이,균형
련,輦,U+8F26,손수레,균형
련,孌,U+5B4C,아름다울,균형
련,𨏶,U+283F6,,균형
련,楝,U+695D,멀구슬나무,균형
련,湅,U+6E45,누일,밝음
련,臠,U+81E0,저민고기,균형
련,鏈,U+93C8,쇠사슬,균형
련,鰊,U+9C0A,고기 이름,균형
련,鰱,U+9C31,연어,균형
련,奱,U+5971,,균형
렬,列,U+5217,줄,균형
렬,烈,U+70C8,세찰,균형
렬,裂,U+88C2,찢을,균형
렬,劣,U+52A3,못할,균형
렬,洌,U+6D0C,맑을,청렴
렬,冽,U+51BD,찰,균형
렬,挒,U+6312,비틀,균형
렬,捩,U+6369,비틀,균형
렬,颲,U+98B2,사나운 바람,균형
